Time          F_x          F_y          F_z
0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
1.0000e-02  1.7856e+01  1.4534e-03  0.0000e+00
2.0000e-02  -2.6924e+00  -2.8628e-03  0.0000e+00
3.0000e-02  1.7578e+00  -3.1889e-03  0.0000e+00
4.0000e-02  1.5756e+00  -6.6676e-03  0.0000e+00
5.0000e-02  1.4931e+00  -5.7754e-03  0.0000e+00
6.0000e-02  1.5460e+00  -4.2398e-03  0.0000e+00
7.0000e-02  1.6874e+00  -6.2850e-03  0.0000e+00
8.0000e-02  1.8164e+00  -9.0445e-03  0.0000e+00
9.0000e-02  1.8751e+00  -1.0996e-02  0.0000e+00
1.0000e-01  1.8726e+00  -1.0696e-02  0.0000e+00
1.1000e-01  1.8473e+00  -7.1579e-03  0.0000e+00
1.2000e-01  1.8222e+00  -4.2655e-03  0.0000e+00
1.3000e-01  1.8024e+00  -3.8906e-03  0.0000e+00
1.4000e-01  1.7834e+00  -6.4134e-03  0.0000e+00
1.5000e-01  1.7598e+00  -8.7258e-03  0.0000e+00
1.6000e-01  1.7296e+00  -9.6999e-03  0.0000e+00
1.7000e-01  1.6907e+00  -7.7778e-03  0.0000e+00
1.8000e-01  1.6447e+00  -4.7492e-03  0.0000e+00
1.9000e-01  1.5933e+00  -4.0184e-03  0.0000e+00
2.0000e-01  1.5428e+00  -4.4826e-03  0.0000e+00
2.1000e-01  1.4984e+00  -6.0084e-03  0.0000e+00
2.2000e-01  1.4661e+00  -6.2081e-03  0.0000e+00
2.3000e-01  1.4468e+00  -4.1461e-03  0.0000e+00
2.4000e-01  1.4393e+00  -1.1408e-03  0.0000e+00
2.5000e-01  1.4389e+00  1.0386e-03  0.0000e+00
2.6000e-01  1.4411e+00  1.5324e-03  0.0000e+00
2.7000e-01  1.4437e+00  1.4639e-03  0.0000e+00
2.8000e-01  1.4444e+00  1.8728e-03  0.0000e+00
2.9000e-01  1.4438e+00  4.5389e-03  0.0000e+00
3.0000e-01  1.4408e+00  9.0019e-03  0.0000e+00
3.1000e-01  1.4381e+00  1.3841e-02  0.0000e+00
3.2000e-01  1.4344e+00  1.8087e-02  0.0000e+00
3.3000e-01  1.4331e+00  2.1495e-02  0.0000e+00
3.4000e-01  1.4328e+00  2.3971e-02  0.0000e+00
3.5000e-01  1.4374e+00  2.6730e-02  0.0000e+00
3.6000e-01  1.4448e+00  2.8754e-02  0.0000e+00
3.7000e-01  1.4582e+00  3.0291e-02  0.0000e+00
3.8000e-01  1.4746e+00  3.0445e-02  0.0000e+00
3.9000e-01  1.4963e+00  2.9090e-02  0.0000e+00
4.0000e-01  1.5198e+00  2.6012e-02  0.0000e+00
4.1000e-01  1.5462e+00  2.0536e-02  0.0000e+00
4.2000e-01  1.5717e+00  1.6045e-02  0.0000e+00
4.3000e-01  1.5953e+00  1.4892e-02  0.0000e+00
4.4000e-01  1.6131e+00  1.5932e-02  0.0000e+00
4.5000e-01  1.6237e+00  1.3226e-02  0.0000e+00
