Time          F_x          F_y          F_z
0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
5.0000e-03  -1.0794e+02  6.2547e+01  0.0000e+00
1.0000e-02  2.4730e+02  -6.5996e+01  0.0000e+00
1.5000e-02  1.1331e+02  9.3228e+00  0.0000e+00
2.0000e-02  9.6800e+01  -3.2429e+01  0.0000e+00
2.5000e-02  8.8839e+01  -1.3076e+01  0.0000e+00
3.0000e-02  8.2307e+01  -1.0648e+00  0.0000e+00
3.5000e-02  7.6473e+01  -3.4842e+01  0.0000e+00
4.0000e-02  7.3922e+01  7.8286e+00  0.0000e+00
4.5000e-02  6.9387e+01  -2.5073e+01  0.0000e+00
5.0000e-02  6.7393e+01  -1.3166e+01  0.0000e+00
5.5000e-02  6.5215e+01  2.4444e+00  0.0000e+00
6.0000e-02  6.2242e+01  -3.4353e+01  0.0000e+00
6.5000e-02  6.1869e+01  1.2787e+01  0.0000e+00
7.0000e-02  5.9028e+01  -2.6513e+01  0.0000e+00
7.5000e-02  5.8390e+01  -7.6660e+00  0.0000e+00
8.0000e-02  5.7441e+01  3.7662e+00  0.0000e+00
8.5000e-02  5.5076e+01  -3.4963e+01  0.0000e+00
9.0000e-02  5.5994e+01  2.2944e+01  0.0000e+00
9.5000e-02  5.2911e+01  -3.6962e+01  0.0000e+00
1.0000e-01  5.3920e+01  1.1143e+01  0.0000e+00
1.0500e-01  5.2077e+01  -1.2076e+01  0.0000e+00
1.1000e-01  5.1443e+01  -1.4938e+01  0.0000e+00
1.1500e-01  5.1572e+01  9.9631e+00  0.0000e+00
1.2000e-01  4.9803e+01  -2.2370e+01  0.0000e+00
1.2500e-01  5.0308e+01  4.1497e+00  0.0000e+00
1.3000e-01  4.9129e+01  -2.8803e+00  0.0000e+00
1.3500e-01  4.8322e+01  -1.9193e+01  0.0000e+00
1.4000e-01  4.8845e+01  1.9256e+01  0.0000e+00
1.4500e-01  4.6846e+01  -2.8915e+01  0.0000e+00
1.5000e-01  4.8148e+01  1.5965e+01  0.0000e+00
1.5500e-01  4.6578e+01  -1.0333e+01  0.0000e+00
1.6000e-01  4.6549e+01  -9.6265e+00  0.0000e+00
1.6500e-01  4.6742e+01  1.6999e+01  0.0000e+00
1.7000e-01  4.5228e+01  -2.7803e+01  0.0000e+00
1.7500e-01  4.6485e+01  2.3395e+01  0.0000e+00
1.8000e-01  4.4790e+01  -1.8531e+01  0.0000e+00
1.8500e-01  4.5299e+01  4.4600e+00  0.0000e+00
1.9000e-01  4.5073e+01  5.5667e+00  0.0000e+00
1.9500e-01  4.4231e+01  -1.4056e+01  0.0000e+00
2.0000e-01  4.5051e+01  1.4332e+01  0.0000e+00
2.0500e-01  4.3872e+01  -8.1473e+00  0.0000e+00
2.1000e-01  4.4146e+01  -1.9490e+00  0.0000e+00
2.1500e-01  4.4264e+01  1.5135e+01  0.0000e+00
2.2000e-01  4.2933e+01  -2.2174e+01  0.0000e+00
2.2500e-01  4.4488e+01  2.7261e+01  0.0000e+00
2.3000e-01  4.2558e+01  -2.0407e+01  0.0000e+00
2.3500e-01  4.3869e+01  1.3397e+01  0.0000e+00
2.4000e-01  4.2948e+01  3.1333e+00  0.0000e+00
2.4500e-01  4.2778e+01  -1.1202e+01  0.0000e+00
2.5000e-01  4.3387e+01  2.2335e+01  0.0000e+00
2.5500e-01  4.2026e+01  -1.8242e+01  0.0000e+00
2.6000e-01  4.3021e+01  1.6945e+01  0.0000e+00
2.6500e-01  4.2305e+01  -1.8469e+00  0.0000e+00
2.7000e-01  4.2324e+01  -3.4287e+00  0.0000e+00
2.7500e-01  4.2886e+01  1.5864e+01  0.0000e+00
2.8000e-01  4.1852e+01  -1.1392e+01  0.0000e+00
2.8500e-01  4.2696e+01  1.1755e+01  0.0000e+00
2.9000e-01  4.2180e+01  4.3234e+00  0.0000e+00
2.9500e-01  4.1940e+01  -9.5397e+00  0.0000e+00
3.0000e-01  4.2864e+01  2.4932e+01  0.0000e+00
3.0500e-01  4.1292e+01  -2.2484e+01  0.0000e+00
3.1000e-01  4.2969e+01  2.6312e+01  0.0000e+00
3.1500e-01  4.1504e+01  -1.1155e+01  0.0000e+00
3.2000e-01  4.2381e+01  6.4454e+00  0.0000e+00
3.2500e-01  4.2266e+01  1.1624e+01  0.0000e+00
3.3000e-01  4.1601e+01  -1.1493e+01  0.0000e+00
3.3500e-01  4.2493e+01  2.0080e+01  0.0000e+00
3.4000e-01  4.1561e+01  -7.6440e+00  0.0000e+00
3.4500e-01  4.2180e+01  6.1737e+00  0.0000e+00
3.5000e-01  4.2103e+01  1.0883e+01  0.0000e+00
3.5500e-01  4.1578e+01  -9.8139e+00  0.0000e+00
3.6000e-01  4.2491e+01  1.8979e+01  0.0000e+00
3.6500e-01  4.1536e+01  -6.5768e+00  0.0000e+00
3.7000e-01  4.2053e+01  5.2312e+00  0.0000e+00
3.7500e-01  4.2086e+01  1.3516e+01  0.0000e+00
3.8000e-01  4.1376e+01  -1.4863e+01  0.0000e+00
3.8500e-01  4.2689e+01  2.7683e+01  0.0000e+00
3.9000e-01  4.1270e+01  -1.8462e+01  0.0000e+00
3.9500e-01  4.2702e+01  1.9828e+01  0.0000e+00
4.0000e-01  4.1860e+01  -1.7132e+00  0.0000e+00
4.0500e-01  4.2044e+01  -8.9923e-02  0.0000e+00
4.1000e-01  4.2448e+01  1.5352e+01  0.0000e+00
4.1500e-01  4.1686e+01  -8.4042e+00  0.0000e+00
4.2000e-01  4.2609e+01  1.2644e+01  0.0000e+00
4.2500e-01  4.2015e+01  3.7369e+00  0.0000e+00
4.3000e-01  4.2055e+01  -3.9312e+00  0.0000e+00
4.3500e-01  4.2572e+01  1.9069e+01  0.0000e+00
4.4000e-01  4.1788e+01  -1.2046e+01  0.0000e+00
4.4500e-01  4.2676e+01  1.7406e+01  0.0000e+00
4.5000e-01  4.2031e+01  -1.0589e-01  0.0000e+00
4.5500e-01  4.2108e+01  -1.0012e+00  0.0000e+00
4.6000e-01  4.2638e+01  1.9386e+01  0.0000e+00
4.6500e-01  4.1638e+01  -1.5708e+01  0.0000e+00
4.7000e-01  4.3015e+01  2.4942e+01  0.0000e+00
4.7500e-01  4.1810e+01  -1.0763e+01  0.0000e+00
4.8000e-01  4.2617e+01  1.1573e+01  0.0000e+00
4.8500e-01  4.2373e+01  6.6578e+00  0.0000e+00
4.9000e-01  4.2098e+01  -3.8156e+00  0.0000e+00
4.9500e-01  4.2782e+01  1.4446e+01  0.0000e+00
5.0000e-01  4.2047e+01  -1.7524e+00  0.0000e+00
5.0500e-01  4.2634e+01  3.9225e+00  0.0000e+00
5.1000e-01  4.2677e+01  1.3822e+01  0.0000e+00
5.1500e-01  4.2265e+01  -1.0929e+01  0.0000e+00
5.2000e-01  4.3124e+01  2.2483e+01  0.0000e+00
5.2500e-01  4.2127e+01  -1.0229e+01  0.0000e+00
5.3000e-01  4.2880e+01  1.2803e+01  0.0000e+00
5.3500e-01  4.2579e+01  6.1930e+00  0.0000e+00
5.4000e-01  4.2327e+01  -5.5912e+00  0.0000e+00
5.4500e-01  4.3080e+01  2.1106e+01  0.0000e+00
5.5000e-01  4.2057e+01  -1.2423e+01  0.0000e+00
5.5500e-01  4.3044e+01  1.8307e+01  0.0000e+00
5.6000e-01  4.2309e+01  -1.0179e+00  0.0000e+00
5.6500e-01  4.2613e+01  2.9800e+00  0.0000e+00
5.7000e-01  4.2855e+01  1.2570e+01  0.0000e+00
5.7500e-01  4.2219e+01  -3.8716e+00  0.0000e+00
5.8000e-01  4.2805e+01  1.0425e+01  0.0000e+00
5.8500e-01  4.2548e+01  6.2702e+00  0.0000e+00
5.9000e-01  4.2480e+01  -4.5305e+00  0.0000e+00
5.9500e-01  4.3128e+01  2.0881e+01  0.0000e+00
6.0000e-01  4.2073e+01  -1.3915e+01  0.0000e+00
6.0500e-01  4.3241e+01  2.1785e+01  0.0000e+00
6.1000e-01  4.2222e+01  -5.7249e+00  0.0000e+00
6.1500e-01  4.2848e+01  6.7451e+00  0.0000e+00
6.2000e-01  4.2790e+01  1.1733e+01  0.0000e+00
6.2500e-01  4.2397e+01  -7.6225e+00  0.0000e+00
6.3000e-01  4.3195e+01  1.9265e+01  0.0000e+00
6.3500e-01  4.2398e+01  -5.9297e+00  0.0000e+00
6.4000e-01  4.3002e+01  9.2937e+00  0.0000e+00
6.4500e-01  4.2730e+01  8.1608e+00  0.0000e+00
6.5000e-01  4.2466e+01  -3.3310e+00  0.0000e+00
6.5500e-01  4.2904e+01  1.5291e+01  0.0000e+00
6.6000e-01  4.2442e+01  -1.8610e+00  0.0000e+00
6.6500e-01  4.2700e+01  5.4276e+00  0.0000e+00
6.7000e-01  4.2846e+01  1.2896e+01  0.0000e+00
6.7500e-01  4.2149e+01  -9.5625e+00  0.0000e+00
6.8000e-01  4.3293e+01  2.3896e+01  0.0000e+00
6.8500e-01  4.1988e+01  -1.3068e+01  0.0000e+00
6.9000e-01  4.3200e+01  1.8580e+01  0.0000e+00
6.9500e-01  4.2333e+01  -3.8128e-01  0.0000e+00
7.0000e-01  4.2711e+01  2.3303e+00  0.0000e+00
7.0500e-01  4.2862e+01  1.4096e+01  0.0000e+00
7.1000e-01  4.2421e+01  -6.1630e+00  0.0000e+00
7.1500e-01  4.3126e+01  1.3787e+01  0.0000e+00
7.2000e-01  4.2593e+01  2.0250e+00  0.0000e+00
7.2500e-01  4.2704e+01  1.4246e+00  0.0000e+00
7.3000e-01  4.2895e+01  1.4170e+01  0.0000e+00
7.3500e-01  4.2429e+01  -5.9772e+00  0.0000e+00
7.4000e-01  4.3047e+01  1.4086e+01  0.0000e+00
7.4500e-01  4.2665e+01  1.9573e+00  0.0000e+00
7.5000e-01  4.2654e+01  8.8790e-01  0.0000e+00
7.5500e-01  4.3144e+01  1.6674e+01  0.0000e+00
7.6000e-01  4.2263e+01  -1.1338e+01  0.0000e+00
7.6500e-01  4.3308e+01  2.2601e+01  0.0000e+00
7.7000e-01  4.2093e+01  -8.9647e+00  0.0000e+00
7.7500e-01  4.3002e+01  1.2859e+01  0.0000e+00
7.8000e-01  4.2541e+01  4.8691e+00  0.0000e+00
7.8500e-01  4.2576e+01  -6.4747e-01  0.0000e+00
7.9000e-01  4.2912e+01  1.2822e+01  0.0000e+00
7.9500e-01  4.2485e+01  -1.4476e+00  0.0000e+00
8.0000e-01  4.2793e+01  6.7557e+00  0.0000e+00
8.0500e-01  4.2772e+01  9.4007e+00  0.0000e+00
