Time          F_x          F_y          F_z
0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
5.0000e-03  3.8888e-04  -2.0607e-03  -7.5920e-10
1.0000e-02  1.2465e-03  -6.3468e-03  4.8067e-10
1.5000e-02  2.4142e-03  -9.7015e-03  6.0163e-09
2.0000e-02  3.9950e-03  -1.2678e-02  4.4647e-09
2.5000e-02  6.0909e-03  -1.6246e-02  -1.2049e-08
3.0000e-02  8.7083e-03  -1.9652e-02  -3.7201e-08
3.5000e-02  1.1558e-02  -2.3118e-02  -7.1003e-08
4.0000e-02  1.4392e-02  -2.6585e-02  -1.1749e-07
4.5000e-02  1.7119e-02  -2.9986e-02  -1.7256e-07
5.0000e-02  1.9578e-02  -3.3352e-02  -2.3045e-07
5.5000e-02  2.1557e-02  -3.6594e-02  -2.8943e-07
6.0000e-02  2.3069e-02  -3.9724e-02  -3.4705e-07
6.5000e-02  2.4220e-02  -4.2778e-02  -4.0047e-07
7.0000e-02  2.5114e-02  -4.5749e-02  -4.4766e-07
7.5000e-02  2.5883e-02  -4.8652e-02  -4.8992e-07
8.0000e-02  2.6734e-02  -5.1531e-02  -5.3048e-07
8.5000e-02  2.7849e-02  -5.4406e-02  -5.7234e-07
9.0000e-02  2.9302e-02  -5.7279e-02  -6.2026e-07
9.5000e-02  3.1112e-02  -6.0153e-02  -6.7872e-07
1.0000e-01  3.3268e-02  -6.3024e-02  -7.5186e-07
1.0500e-01  3.5658e-02  -6.5867e-02  -8.4118e-07
1.1000e-01  3.8123e-02  -6.8649e-02  -9.4683e-07
1.1500e-01  4.0497e-02  -7.1343e-02  -1.0673e-06
1.2000e-01  4.2648e-02  -7.3923e-02  -1.1992e-06
1.2500e-01  4.4468e-02  -7.6367e-02  -1.3380e-06
1.3000e-01  4.5902e-02  -7.8665e-02  -1.4787e-06
1.3500e-01  4.6982e-02  -8.0822e-02  -1.6174e-06
1.4000e-01  4.7792e-02  -8.2851e-02  -1.7513e-06
1.4500e-01  4.8453e-02  -8.4767e-02  -1.8796e-06
1.5000e-01  4.9106e-02  -8.6595e-02  -2.0038e-06
1.5500e-01  4.9887e-02  -8.8351e-02  -2.1279e-06
1.6000e-01  5.0897e-02  -9.0050e-02  -2.2571e-06
1.6500e-01  5.2180e-02  -9.1693e-02  -2.3974e-06
1.7000e-01  5.3724e-02  -9.3275e-02  -2.5542e-06
1.7500e-01  5.5467e-02  -9.4778e-02  -2.7315e-06
1.8000e-01  5.7301e-02  -9.6183e-02  -2.9313e-06
1.8500e-01  5.9098e-02  -9.7463e-02  -3.1531e-06
1.9000e-01  6.0738e-02  -9.8598e-02  -3.3941e-06
1.9500e-01  6.2127e-02  -9.9571e-02  -3.6498e-06
2.0000e-01  6.3212e-02  -1.0037e-01  -3.9148e-06
2.0500e-01  6.3994e-02  -1.0101e-01  -4.1839e-06
2.1000e-01  6.4524e-02  -1.0148e-01  -4.4530e-06
2.1500e-01  6.4894e-02  -1.0182e-01  -4.7200e-06
2.2000e-01  6.5211e-02  -1.0203e-01  -4.9856e-06
2.2500e-01  6.5587e-02  -1.0214e-01  -5.2526e-06
2.3000e-01  6.6109e-02  -1.0216e-01  -5.5261e-06
2.3500e-01  6.6831e-02  -1.0209e-01  -5.8118e-06
2.4000e-01  6.7756e-02  -1.0193e-01  -6.1155e-06
2.4500e-01  6.8846e-02  -1.0167e-01  -6.4416e-06
2.5000e-01  7.0026e-02  -1.0130e-01  -6.7921e-06
2.5500e-01  7.1198e-02  -1.0079e-01  -7.1667e-06
2.6000e-01  7.2263e-02  -1.0013e-01  -7.5623e-06
2.6500e-01  7.3141e-02  -9.9305e-02  -7.9736e-06
2.7000e-01  7.3779e-02  -9.8316e-02  -8.3940e-06
2.7500e-01  7.4167e-02  -9.7163e-02  -8.8165e-06
2.8000e-01  7.4334e-02  -9.5856e-02  -9.2349e-06
2.8500e-01  7.4345e-02  -9.4410e-02  -9.6445e-06
2.9000e-01  7.4281e-02  -9.2844e-02  -1.0043e-05
2.9500e-01  7.4231e-02  -9.1175e-02  -1.0431e-05
3.0000e-01  7.4269e-02  -8.9415e-02  -1.0810e-05
3.0500e-01  7.4445e-02  -8.7572e-02  -1.1183e-05
3.1000e-01  7.4772e-02  -8.5647e-02  -1.1556e-05
3.1500e-01  7.5230e-02  -8.3634e-02  -1.1930e-05
3.2000e-01  7.5768e-02  -8.1522e-02  -1.2308e-05
3.2500e-01  7.6314e-02  -7.9302e-02  -1.2690e-05
3.3000e-01  7.6795e-02  -7.6961e-02  -1.3072e-05
3.3500e-01  7.7145e-02  -7.4495e-02  -1.3450e-05
3.4000e-01  7.7320e-02  -7.1900e-02  -1.3818e-05
3.4500e-01  7.7307e-02  -6.9183e-02  -1.4170e-05
3.5000e-01  7.7125e-02  -6.6353e-02  -1.4500e-05
3.5500e-01  7.6816e-02  -6.3426e-02  -1.4804e-05
3.6000e-01  7.6443e-02  -6.0418e-02  -1.5079e-05
3.6500e-01  7.6072e-02  -5.7345e-02  -1.5327e-05
3.7000e-01  7.5764e-02  -5.4218e-02  -1.5552e-05
3.7500e-01  7.5558e-02  -5.1046e-02  -1.5757e-05
3.8000e-01  7.5469e-02  -4.7831e-02  -1.5949e-05
3.8500e-01  7.5485e-02  -4.4571e-02  -1.6133e-05
3.9000e-01  7.5569e-02  -4.1260e-02  -1.6312e-05
3.9500e-01  7.5669e-02  -3.7891e-02  -1.6490e-05
4.0000e-01  7.5726e-02  -3.4458e-02  -1.6665e-05
4.0500e-01  7.5689e-02  -3.0958e-02  -1.6835e-05
4.1000e-01  7.5520e-02  -2.7392e-02  -1.6997e-05
4.1500e-01  7.5204e-02  -2.3768e-02  -1.7146e-05
4.2000e-01  7.4750e-02  -2.0095e-02  -1.7278e-05
4.2500e-01  7.4187e-02  -1.6388e-02  -1.7389e-05
4.3000e-01  7.3560e-02  -1.2664e-02  -1.7479e-05
4.3500e-01  7.2918e-02  -8.9375e-03  -1.7547e-05
4.4000e-01  7.2306e-02  -5.2217e-03  -1.7596e-05
4.4500e-01  7.1759e-02  -1.5268e-03  -1.7630e-05
4.5000e-01  7.1291e-02  2.1418e-03  -1.7651e-05
4.5500e-01  7.0897e-02  5.7819e-03  -1.7664e-05
4.6000e-01  7.0556e-02  9.3942e-03  -1.7670e-05
4.6500e-01  7.0232e-02  1.2981e-02  -1.7669e-05
4.7000e-01  6.9886e-02  1.6543e-02  -1.7662e-05
4.7500e-01  6.9482e-02  2.0081e-02  -1.7644e-05
4.8000e-01  6.8995e-02  2.3591e-02  -1.7615e-05
4.8500e-01  6.8414e-02  2.7067e-02  -1.7570e-05
4.9000e-01  6.7749e-02  3.0500e-02  -1.7507e-05
4.9500e-01  6.7021e-02  3.3878e-02  -1.7425e-05
5.0000e-01  6.6267e-02  3.7192e-02  -1.7325e-05
5.0500e-01  6.5911e-02  3.8368e-02  -1.7209e-05
5.1000e-01  6.6069e-02  3.7241e-02  -1.7083e-05
5.1500e-01  6.6609e-02  3.6967e-02  -1.6960e-05
5.2000e-01  6.7647e-02  3.7002e-02  -1.6866e-05
5.2500e-01  6.9286e-02  3.6394e-02  -1.6812e-05
5.3000e-01  7.1518e-02  3.5913e-02  -1.6792e-05
5.3500e-01  7.4021e-02  3.5357e-02  -1.6808e-05
5.4000e-01  7.6513e-02  3.4799e-02  -1.6858e-05
5.4500e-01  7.8878e-02  3.4307e-02  -1.6929e-05
5.5000e-01  8.0935e-02  3.3848e-02  -1.7003e-05
5.5500e-01  8.2459e-02  3.3498e-02  -1.7069e-05
5.6000e-01  8.3469e-02  3.3228e-02  -1.7111e-05
5.6500e-01  8.4088e-02  3.2983e-02  -1.7120e-05
5.7000e-01  8.4436e-02  3.2755e-02  -1.7091e-05
5.7500e-01  8.4663e-02  3.2515e-02  -1.7026e-05
5.8000e-01  8.4986e-02  3.2218e-02  -1.6933e-05
5.8500e-01  8.5589e-02  3.1845e-02  -1.6822e-05
5.9000e-01  8.6532e-02  3.1405e-02  -1.6705e-05
5.9500e-01  8.7812e-02  3.0908e-02  -1.6596e-05
6.0000e-01  8.9389e-02  3.0374e-02  -1.6501e-05
6.0500e-01  9.1123e-02  2.9839e-02  -1.6427e-05
6.1000e-01  9.2834e-02  2.9344e-02  -1.6372e-05
6.1500e-01  9.4343e-02  2.8915e-02  -1.6334e-05
6.2000e-01  9.5525e-02  2.8572e-02  -1.6305e-05
6.2500e-01  9.6287e-02  2.8323e-02  -1.6275e-05
6.3000e-01  9.6601e-02  2.8163e-02  -1.6236e-05
6.3500e-01  9.6533e-02  2.8070e-02  -1.6181e-05
6.4000e-01  9.6198e-02  2.8015e-02  -1.6108e-05
6.4500e-01  9.5741e-02  2.7969e-02  -1.6017e-05
6.5000e-01  9.5315e-02  2.7903e-02  -1.5914e-05
6.5500e-01  9.5057e-02  2.7799e-02  -1.5807e-05
6.6000e-01  9.5054e-02  2.7648e-02  -1.5704e-05
6.6500e-01  9.5331e-02  2.7454e-02  -1.5616e-05
6.7000e-01  9.5854e-02  2.7230e-02  -1.5547e-05
6.7500e-01  9.6540e-02  2.6999e-02  -1.5502e-05
6.8000e-01  9.7273e-02  2.6782e-02  -1.5479e-05
6.8500e-01  9.7926e-02  2.6604e-02  -1.5473e-05
6.9000e-01  9.8393e-02  2.6477e-02  -1.5479e-05
6.9500e-01  9.8605e-02  2.6409e-02  -1.5487e-05
7.0000e-01  9.8542e-02  2.6393e-02  -1.5491e-05
7.0500e-01  9.8235e-02  2.6418e-02  -1.5483e-05
7.1000e-01  9.7761e-02  2.6462e-02  -1.5461e-05
7.1500e-01  9.7225e-02  2.6503e-02  -1.5425e-05
7.2000e-01  9.6736e-02  2.6521e-02  -1.5379e-05
7.2500e-01  9.6395e-02  2.6502e-02  -1.5327e-05
7.3000e-01  9.6265e-02  2.6438e-02  -1.5276e-05
7.3500e-01  9.6373e-02  2.6332e-02  -1.5233e-05
7.4000e-01  9.6693e-02  2.6194e-02  -1.5203e-05
7.4500e-01  9.7166e-02  2.6041e-02  -1.5187e-05
7.5000e-01  9.7705e-02  2.5891e-02  -1.5185e-05
7.5500e-01  9.8214e-02  2.5761e-02  -1.5194e-05
7.6000e-01  9.8607e-02  2.5665e-02  -1.5210e-05
7.6500e-01  9.8825e-02  2.5608e-02  -1.5226e-05
7.7000e-01  9.8844e-02  2.5590e-02  -1.5237e-05
7.7500e-01  9.8681e-02  2.5601e-02  -1.5238e-05
7.8000e-01  9.8384e-02  2.5628e-02  -1.5228e-05
